"","Borough","XCoord","YCoord"
"337","BK",985211,165172
"338","BK",1008383,194622
"339","BK",1000414,189222
"340","BK",1003255,176017
"341","BK",1007338,181688
"342","BK",994485,173471
"343","BK",986015,180024
"344","BK",1015064,180671
"345","BK",1001417,203496
"346","BK",1001327,179612
"347","BK",1000696,162396
"348","BK",1008048,190937
"349","BK",998025,189761
"350","BK",999667,200068
"351","BK",1000348,155796
"352","BK",984825,164300
"353","BK",998385,175596
"354","BK",984615,175299
"355","BK",983297,163268
"356","BK",996346,163781
"357","BK",1009669,192810
"358","BK",1015458,180177
"359","BK",1004420,185834
"360","BK",1001249,163666
"361","BK",985808,169984
"362","BK",999418,194528
"363","BK",1002157,152648
"364","BK",994767,170787
"365","BK",1008243,182066
"366","BK",1005969,166072
"367","BK",1009853,178542
"368","BK",1008971,191911
"369","BK",1005735,153837
"370","BK",990503,186701
"371","BK",1005356,192722
"372","BK",999929,167327
"373","BK",998115,204595
"374","BK",995189,171666
"375","BK",1005794,161922
"376","BK",988427,172613
"377","BK",1008046,188447
"378","BK",993626,157293
"379","BK",978603,169661
"380","BK",1006429,162383
"381","BK",1005250,163814
"382","BK",990076,185298
"383","BK",996199,194983
"384","BK",1012354,163571
"385","BK",982052,171504
"386","BK",981818,165819
"387","BK",995808,195646
"388","BK",1001045,165172
"389","BK",1012154,172174
"390","BK",991809,191197
"391","BK",997885,189930
"392","BK",989001,190221
"393","BK",984995,159600
"394","BK",988939,161230
"395","BK",986399,186623
"396","BK",999895,176974
"397","BK",985419,157320
"398","BK",1004158,164664
"399","BK",992478,168603
"400","BK",993409,167900
"401","BK",1003213,165646
"402","BK",1008809,171604
"403","BK",991744,192606
"404","BK",992239,167018
"405","BK",983131,189085
"406","BK",989615,184950
"407","BK",986117,163074
"408","BK",1003298,175622
"409","BK",976984,163224
"410","BK",986043,188350
"411","BK",988022,181737
"412","BK",983573,188090
"413","BK",1005966,189872
"414","BK",1005534,181814
"415","BK",1001573,169249
"416","BK",994309,198832
"417","BK",1004771,181491
"418","BK",982898,177860
"419","BK",998111,192230
"420","BK",982831,174055
"421","BK",1009510,188977
"422","BK",1006122,189351
"423","BK",1014652,181427
"424","BK",984444,186252
"425","BK",1004002,161316
"426","BK",1004903,169279
"427","BK",997025,159183
"428","BK",1007989,181187
"429","BK",1003615,174937
"430","BK",985959,195393
"431","BK",986752,156337
"432","BK",1013391,169270
"433","BK",973662,169119
"434","BK",986624,162672
"435","BK",1006935,175044
"436","BK",988839,181130
"437","BK",975751,167358
"438","BK",986396,186865
"439","BK",1005219,165432
"440","BK",990196,183397
"441","BK",1000210,188895
"442","BK",999753,202166
"443","BK",1006922,188003
"444","BK",1005039,153007
"445","BK",994975,162095
"446","BK",991583,169260
"447","BK",985533,192430
"448","BK",998547,192465
"449","BK",1004442,170490
"450","BK",985400,157141
"451","BK",981047,159734
"452","BK",995439,164225
"453","BK",977699,168038
"454","BK",980283,164993
"455","BK",996175,167604
"456","BK",990821,156872
"457","BK",979571,159757
"458","BK",985114,192272
"459","BK",989782,173966
"460","BK",990883,187632
"461","BK",1008294,187768
"462","BK",1008878,176096
"463","BK",1002021,190257
"464","BK",984316,187650
"465","BK",997383,148607
"466","BK",981454,174535
"467","BK",988348,180781
"468","BK",998276,170602
"469","BK",1002794,189016
"470","BK",996045,204244
"471","BK",1013547,169736
"472","BK",976909,165881
"473","BK",1010847,169361
"474","BK",984861,180420
"475","BK",1005860,187419
"476","BK",996240,177339
"477","BK",990115,190532
"478","BK",992208,188469
"479","BK",995090,170508
"480","BK",1005877,152878
"481","BK",1002733,197731
"482","BK",1008683,186074
"483","BK",1010599,172389
"484","BK",1000982,177917
"485","BK",993820,187091
"486","BK",1015455,172336
"487","BK",983607,172776
"488","BK",992000,168763
"489","BK",995482,189804
"490","BK",1017288,183287
"491","BK",987507,171855
"492","BK",1012417,174180
"493","BK",1008091,165259
"494","BK",1019458,187902
"495","BK",1014707,168821
"496","BK",1013733,180532
"497","BK",980539,175410
"498","BK",981884,173015
"499","BK",1003187,173775
"500","BK",1003184,156009
"501","BK",980901,165370
"502","BK",981128,160873
"503","BK",1007567,189420
"504","BK",983806,161261
"505","BK",988779,158855
"506","BK",1000080,196915
"507","BK",984836,170141
"508","BK",997257,180442
"509","BK",999856,197406
"510","BK",999523,158981
"511","BK",996439,195896
"512","BK",999525,155534
"513","BK",973790,169309
"514","BK",987015,164353
"515","BK",995624,156648
"516","BK",980796,165785
"517","BK",1003853,157382
"518","BK",981998,169709
"519","BK",999154,194882
"520","BK",1000890,182846
"521","BK",990125,169883
"522","BK",1001258,163551
"523","BK",998842,173357
"524","BK",974063,165170
"525","BK",1010199,163014
"526","BK",1008542,188643
"527","BK",1002722,169681
"528","BK",985243,168812
"529","BK",1013840,172850
"530","BK",1006453,175136
"531","BK",989042,186705
"532","BK",1021192,180489
"533","BK",1014362,170007
"534","BK",979883,165643
"535","BK",983737,173362
"536","BK",995386,155037
